"Rettungswachen des Badischen Roten Kreuzes"							"Stand:"	25/08/2006
						"k:\8.28/RD-Listen-Übersicht\RW im BadRK Stand 200.xls"		
								
"Nr."	"Rettungswache"	"Träger DRK ...."	"Straße"	"PLZ"	"Ort"	"Besetzt-Zeit"	"Telefon"	"Telefax"
"1."	"Blumberg"	"KV Donaueschingen"	"Eichendorffstr. 1"	78176	"Blumberg"	"24.00 - 0.00"	"07702/3148"	
"2."	"Donaueschingen"	"KV Donaueschingen"	"Dürrheimer Str. 2 b"	78166	"Donaueschingen"	"24.00 - 0.00"	"0771/83275-0"	"0771/83275-79"
"3."	"Furtwangen"	"KV Donaueschingen"	"Luisenstr. 17"	78122	"Furtwangen"	"24.00 - 0.00"	"07723/658211"	
"4."	"Vöhrenbach"	"KV Donaueschingen"	"Villingerstr. 15"	78147	"Vöhrenbach"	"24.00 - 0.00"	"07727/499"	
"5."	"Elzach"	"KV Emmendingen"	"Freiburger Straße 12"	79215	"Elzach"	"24.00 - 0.00"	19222	"07682/923749"
"6."	"Emmendingen"	"KV Emmendingen"	"Freiburger Straße 12"	79312	"Emmendingen"	"24.00 - 0.00"	19222	"07641/4601-50"
"7."	"Endingen"	"KV Emmendingen"	"Kenzinger Straße 4"	79346	"Endingen"	"24.00 - 0.00"	19222	"07642/926898"
"8."	"Herbolzheim"	"KV Emmendingen"	"Bismarkstr. 19"	79336	"Herbolzheim"	"24.00 - 0.00"	19222	"07643/59228"
"9."	"Waldkirch"	"KV Emmendingen"	"Langstr. 18"	79183	"Waldkirch"	"24.00 - 0.00"	19222	"07681/474122"
"10."	"Schluchsee"	"KV Hochschw."	"Faulenfürsterstr. 6"	79859	"Schluchsee"	"24.00 - 0.00"	"07656/980501"	"07656/980503"
"11."	"Engen"	"KV Konstanz"	"Ludwig-Finckh-Str. 2"	78234	"Engen"	"24.00 - 0.00"	19222	
"12."	"Konstanz"	"KV Konstanz"	"Mainaustr. 29"	78464	"Konstanz"	"24.00 - 0.00"	19222	
"13."	"Radolfzell"	"KV Konstanz"	"Strandbadstr. 8 "	78315	"Radolfzell"	"24.00 - 0.00"	19222	
"14."	"Singen"	"KV Konstanz"	"Schaffhauserstr. 60"	78224	"Singen"	"24.00 - 0.00"	19222	
"15."	"Stockach"	"KV Konstanz"	"Am Stadtgarten 6 a"	78333	"Stockach"	"24.00 - 0.00"	19222	
"16."	"Bad Krozingen"	"KV Müllheim"	"Südring 13b"	79189	"Bad Krozingen"	"24.00 - 0.00"	"07633/949298"	"07633/150922"
"17."	"Kandern"	"KV Müllheim"	"Papierweg 4"	79400	"Kandern"	"24.00 - 0.00"	"07626/970214"	"07626/970216"
"18."	"Müllheim"	"KV Müllheim"	"Moltkestr. 14a"	79379	"Müllheim"	"24.00 - 0.00"	"07631/1805-0"	"07631/1805-50"
"19."	"Durmersheim"	"KV Rastatt"	"Auerstr. 16"	76448	"Würmersheim"	"24.00 - 0.00"	"07245/6486"	
"20."	"Forbach"	"KV Rastatt"	"Friedrichstr. 17"	76596	"Forbach"	"24.00 - 0.00"	"07228/2221"	
"21."	"Gaggenau"	"KV Rastatt"	"Unimogstr. 5"	76571	"Gaggenau"	"24.00 - 0.00"	"07225/2202"	
"22."	"Gernsbach"	"KV Rastatt"	"Josef-Haas-Str. 43"	76593	"Gernsbach"	"7.00 - 23.00"	"07224/2266"	
"23."	"Rastatt"	"KV Rastatt"	"Plittersdorfer Str. 1/3"	76437	"Rastatt"	"24.00 - 0.00"	"07222/9233-0"	"07222/923350"
"24."	"Bad Säckingen"	"KV Säckingen"	"Rot-Kreuz-Str. 4"	79713	"Bad Säckingen"	"24.00 - 0.00 "	"07661/9201-0 "	"07661/9201-40"
"25."	"Rheinfelden"	"KV Säckingen"	"Alemannenweg 10"	79618	"Rheinfelden"	"24.00 - 0.00"	"07623/719190"	"07623/7191919"
"26."	"Segeten "	"KV Säckingen"	"Segeten 103"	79733	"Göhrwihl"	"24.00 - 0.00"	"07764/920705"	
"27."	"Bettmaringen"	"KV Waldshut"	"Zur mittleren Alp 5"	79780	"Stühlingen"	"24.00 - 0.00"	19222	
"28."	"Dettighofen"	"KV Waldshut"	"hauptstr. 21"	79802	"Dettighofen"	"24.00 - 0.00"	19222	
"29."	"Waldshut"	"KV Waldshut"	"Fullerstr. 2"	79761	"Waldshut-Tiengen"	"24.00 - 0.00"	19222	
"30."	"Hausach"	"KV Wolfach"	"Hauptstr. 82c"	77756	"Hausach"	"24.00 - 0.00"	"07831/9355-0"	"07831/9355-55"
