"Numéro FINESS","SIREN","Raison sociale","Complément distribution","Adresse","Lieudit/BP","Code postal","Libelle routage","Tel","Fax","Compl distr public","Adresse public","Lieudit/BP public","Code postal public","Routage public","Tel public","Fax public","Date ouvert","Code categorie","Lib categorie","Code statut","Lib statut","Code tarif","Lib tarif","Code PSPH","Lib PSPH","FINESS juridique","SAN:","Activite1","Modalité1","Forme1","Activite2","Modalité2","Forme2","Activite3","Modalité3","Forme3","Activite4","Modalité4","Forme4","Activite5","Modalité5","Forme5","Activite6","Modalité6","Forme6","Activite7","Modalité7","Forme7","Activite8","Modalité8","Forme8","Activite9","Modalité9","Forme9","Activite10","Modalité10","Forme10","Activite11","Modalité11","Forme11","Activite12","Modalité12","Forme12","Activite13","Modalité13","Forme13","Activite14","Modalité14","Forme14","Activite15","Modalité15","Forme15","Activite16","Modalité16","Forme16","Activite17","Modalité17","Forme17","Activite18","Modalité18","Forme18","Activite19","Modalité19","Forme19","Activite20","Modalité20","Forme20","Activite21","Modalité21","Forme21","Activite22","Modalité22","Forme22","Activite23","Modalité23","Forme23","Activite24","Modalité24","Forme24","Activite25","Modalité25","Forme25","EML:","Code1","Equipement1","Code2","Equipement2","Code3","Equipement3","Code4","Equipement4","Code5","Equipement5","Code6","Equipement6",,,,,,,,,,,,,,,,,
670000025,"266 700 574 00012","CHU DE STRASBOURG / HOPITAL  CIVIL ...",,"1 PLACE DE L'HOPITAL","BP 426",67091,"STRASBOURG CEDEX","03 88 11 67 68 ","03 88 11 60 99",,,,,,,,,101,"Centre Hospitalier Régional (C.H.R.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780055,,"Psychiatrie","Générale","Hospitalisation à temps partiel de jour","Psychiatrie","Infanto-juvénile","Hospitalisation complète (24 heures consécutives ou plus)","Psychiatrie","Infanto-juvénile","Hospitalisation à temps partiel de jour","Réanimation","Adulte","Pas de forme","Transplantations d'organes et greffes de moelle osseuse","Rein","Hospitalisation complète (24 heures consécutives ou plus)","Médecine d'urgence","SAMU","Pas de forme","Médecine d'urgence","SMU générale","Pas de forme","Médecine d'urgence","SMUR Générale","Non saisonnier","Traitement de l'insuffisance rénale chronique par épuration extrarénale","Hémodialyse en centre pour adultes","Pas de forme","AMP DPN","AMP Ponctions de spermatozoïdes","Pas de forme","AMP DPN","DPN Génétique moléculaire","Pas de forme","AMP DPN","DPN Biochimie","Pas de forme","AMP DPN","DPN Marqueurs sériques dans le sang maternel","Pas de forme","Chirurgie","Pas de modalité","Chirurgie ambulatoire","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","#NOM ?"," par voie endovasculaire"," en cardiologie""","Pas de modalité","Pas de forme","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Psychiatrie","Générale","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,56,"Scanographe",57,"Caméra à Scintillation",62,"App d'IRM à Utilisation Clinique",,,,,,,,,,,,,,,
670000033,"778 853 309 00012","CENTRE PAUL STRAUSS",,"3 RUE PORTE DE L'HOPITAL",,67085,"STRASBOURG CEDEX","03 88 25 24 24 ","03 88 25 24 58",,,,,,,,,131,"Centre de Lutte Contre Cancer",61,"Ass.L.1901 Recon.Util.Pub.",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",670780063,,"Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Traitement du cancer","Radiothérapie","Pas de forme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"Scanographe",57,"Caméra à Scintillation",,,,,,,,,,,,,,,,,,,,,,,,,
670000041,"266 700 061 00010","HOP LA GRAFFENBOURG MAISON ST JOSEPH","HÔPITAL LA GRAFENBOURG","7 RUE ALEXANDRE MILLERAND","BP 26",67171,"BRUMATH CEDEX","03 90 29 16 00 ",,,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780071,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Soins de suite","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000058,"266 706 027 00015","EPSAN BRUMATH",,"141 AVENUE DE STRASBOURG",,67170,"BRUMATH","03 88 64 61 00 ","03 88 51 08 12",,,,,,,,,292,"Centre Hospitalier Spécialisé lutte Maladies Mentales",11,"Etb.Pub.Départ.d'Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670013366,,"Psychiatrie","Infanto-juvénile","Placement familial thérapeutique","Psychiatrie","Générale","Hospitalisation à temps partiel de jour","Psychiatrie","Infanto-juvénile","Hospitalisation complète (24 heures consécutives ou plus)","Psychiatrie","Générale","Hospitalisation à temps partiel de nuit","Psychiatrie","Générale","Hospitalisation complète (24 heures consécutives ou plus)","Psychiatrie","Générale","Placement familial thérapeutique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000066,"266 706 027 00023","EPSAN HOERDT",,"199 RUE DE LA REPUBLIQUE","BP 304",67728,"HOERDT CEDEX","03 88 68 23 23 ","03 88 51 79 61",,,,,,,,,292,"Centre Hospitalier Spécialisé lutte Maladies Mentales",11,"Etb.Pub.Départ.d'Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670013366,,"Psychiatrie","Infanto-juvénile","Hospitalisation complète (24 heures consécutives ou plus)","Psychiatrie","Générale","Hospitalisation à temps partiel de nuit","Psychiatrie","Générale","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000082,"778 859 280 00019","CLINIQUE ADASSA",,"13 PLACE DE HAGUENAU",,67082,"STRASBOURG CEDEX","03 88 15 10 10 ",,,,,,,,,,365,"Etablissement de Soins Pluridisciplinaire",62,"Ass. de Droit Local",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",670780147,,"Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Chirurgie","Pas de modalité","Chirurgie ambulatoire","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000090,"438 420 887 00095","CLINIQUE BETHESDA",,"1 BOULEVARD JACQUES PREISS",,67082,"STRASBOURG CEDEX","03 88 56 70 00 ","03 88 56 72 00",,,,,,,,,365,"Etablissement de Soins Pluridisciplinaire",63,"Fondation",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",670014604,,"Traitement de l'insuffisance rénale chronique par épuration extrarénale","Hémodialyse en centre pour adultes","Pas de forme","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000157,"266 700 111 00013","CENTRE HOSPITALIER DE HAGUENAU",,"64 AVENUE DU PROFESSEUR RENE LERICHE","BP 252",67504,"HAGUENAU CEDEX","03 88 06 33 33 ","03 88 06 30 30",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780337,,"#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Néonatologie sans soins intensifs","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Néonatologie avec soins intensifs","Hospitalisation complète (24 heures consécutives ou plus)","Réanimation","Adulte","Pas de forme","Médecine d'urgence","SMU générale","Pas de forme","Médecine d'urgence","SMUR Générale","Non saisonnier","Traitement de l'insuffisance rénale chronique par épuration extrarénale","Hémodialyse en centre pour adultes","Pas de forme","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","#NOM ?"," par voie endovasculaire"," en cardiologie""","Pas de modalité","Pas de forme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"Scanographe",62,"App d'IRM à Utilisation Clinique",57,"Caméra à Scintillation",,,,,,,,,,,,
670000165,"266 700 228 00015","CH SAINTE-CATHERINE DE SAVERNE",,"19 COTE DE SAVERNE","BP 105",67703,"SAVERNE CEDEX","03 88 71 65 56 ","03 88 71 66 34",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780345,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Chirurgie ambulatoire","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Néonatologie sans soins intensifs","Hospitalisation complète (24 heures consécutives ou plus)","Réanimation","Adulte","Pas de forme","Médecine d'urgence","SMU générale","Pas de forme","Médecine d'urgence","SMUR Générale","Non saisonnier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,"App d'IRM à Utilisation Clinique",56,"Scanographe",,,,,,,,,,,,,,,,,,,
670000173,"266 700 053 00017","CMLS DE BOUXWILLER",,"3 RUE DU CANAL",,67330,"BOUXWILLER","03 88 71 54 54 ",,,,,,,,,,106,"Hôpital Local",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780352,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
