Pharmacies
Commune	Code postal de la commune	N° de la voie	Type de voie	Particule de la voie	Nom de la voie	Nom	N° de téléphone
ACHENHEIM	67200	3	R		BOURGEND	ACHENHEIM	03 88 96 14 80
ANDLAU	67140	16	R	DU	GENERAL DE GAULLE	VOLTZ	03 88 08 02 04
BARR	67140	2	R		GRAND RUE	COLAS	03 88 08 90 75
BARR	67140	4bis	R	DU	GENERAL VANDENBERG	CENTRALE STAHL	03 88 08 90 71
BATZENDORF	67500	75	R		PRINCIPALE	DU CHAMP	03 88 73 85 55
BEINHEIM	67930	12a	R		PRINCIPALE	KIENER-DEBAILLE	03 88 86 20 76
BENFELD	67230	1	R	DU	GENERAL DE GAULLE	SCHWEMLING KIRSTETTER	03 88 74 41 63
BENFELD	67230	1	R		CLEMENCEAU	HOTEL DE VILLE	03 88 74 42 05
BETSCHDORF	67660	88	R	DU	DOCTEUR DEUTSCH	KLEIN OTT	03 88 54 46 11
BISCHHEIM	67800	1	R	DE	MUNDOLSHEIM	DEISS	03 88 33 13 63
BISCHHEIM	67800	13	R	DU	MARAIS	DU MARAIS	03 88 33 12 87
BISCHHEIM	67800	1a	R	DE LA	ROBERTSAU	ARBRE VERT	03 88 33 01 08
BISCHHEIM	67800	48	RTE	DE	BISCHWILLER	SPITZ	03 88 33 15 59
BISCHOFFSHEIM	67210	14	R		PRINCIPALE	ZETTEL	03 88 50 48 76
BISCHWILLER	67240	18	PL	DE LA	MAIRIE	CENTRALE	03 88 63 21 13
BISCHWILLER	67240	83	R	DU	GENERAL RAMPONT	DU LION	03 88 63 25 78
BISCHWILLER	67240	9	R	DU	GENERAL RAYMOND POINCARE	PARISIENNE	03 88 63 20 14
BOOFZHEIM	67860	34	R	DE	RHINAU	GAERTNER	03 88 74 60 08
BOUXWILLER	67330	25	R		GRAND RUE	CENTRALE	03 88 70 70 37
BOUXWILLER	67330	68	R		GRAND RUE	ROMMERT	03 88 70 70 29
BRUMATH	67170	1	R		JACQUES KABLE	DU LION	03 88 51 11 04
BRUMATH	67170	6	R		JACQUES KABLE	PHILIPPS	03 88 51 12 46
CHATENOIS	67730	21	R	DU	MARECHAL FOCH	DES VOSGES	03 88 82 05 90
DAMBACH-LA-VILLE	67650	69	R	DU	MARECHAL FOCH	SAINT SEBASTIEN	03 88 92 41 20
DETTWILLER	67490	22	R	DU	CHATEAU	DE DETTWILLER	03 88 91 40 47
DIEMERINGEN	67430	51	R		GRAND RUE	BOUR	03 88 00 40 90
DINGSHEIM	67370	5	R	DU	MODULOR	SCHEFTEL	03 88 56 26 04
DINSHEIM	67190	168	R	DU	GENERAL DE GAULLE	WANTZ	03 88 50 02 16
DORLISHEIM	67120	49	R		GRAND RUE	DORLISHEIM	03 88 38 46 97
DRULINGEN	67320	1	R	DE	PHALSBOURG	ANCEL	03 88 00 60 22
DRULINGEN	67320	2	R	RU	GENERAL LECLERC	WEBER	03 88 00 60 62
DRUSENHEIM	67410	19	R	DU	GENERAL DE GAULLE	COUSANDIER GILBERT	03 88 53 30 40
DUTTLENHEIM	67120	76	R	DU	GENERAL DE GAULLE	DANO	03 88 50 81 42
EBERSHEIM	67600	19	R	DU	SANGLIER	SANGLIER	03 88 85 74 67
ECKBOLSHEIM	67200	72	AV	DU	GENERAL DE GAULLE	CAPUCINES	03 88 78 16 38
EPFIG	67680	3	R	DES	ECOLES	SAINT COME	03 88 85 51 41
ERGERSHEIM	67120		R	DE 	WOLXHEIM	ERGERSHEIM	03 88 49 88 44
ERNOLSHEIM	67120	16 b	R		PRINCIPALE	KARLE	03 88 96 09 40
ERSTEIN	67150	1	R	DE LA	SAVOIE	BRUHLY	03 88 98 80 92
ERSTEIN	67150	14	R	DE	STRASBOURG	LES ARCADES	03 88 98 25 55
ERSTEIN	67150	15	R		MERCIERE	GRIGNON-HIRTZ	03 88 98 01 03
ESCHAU	67114	55	R	DE LA	1ERE DIVISION BLINDEE	PIGNON	03 88 64 23 98
